map_size,robot_density,num_robots,load,arm,n,completed_orders_mean,completed_orders_ci_low,completed_orders_ci_high,avg_excess_delay_mean,avg_excess_delay_ci_low,avg_excess_delay_ci_high,deadlock_ratio_mean_mean,deadlock_ratio_mean_ci_low,deadlock_ratio_mean_ci_high,risk_rate_per_100_mean,risk_rate_per_100_ci_low,risk_rate_per_100_ci_high
40,0.15,240,low,greedy,10,281.7,239.4581898444248,323.9418101555752,56.04890658964583,33.87282296907374,78.22499021021792,0.3417948,0.17206532881130293,0.5115242711886971,65.51333,35.507988585878685,95.51867141412131
40,0.15,240,low,hungarian,10,284.6,247.43171831048832,321.7682816895117,53.730895541888714,34.73174436722513,72.7300467165523,0.3328889,0.18533287478261476,0.48044492521738524,70.44667,45.81354726691208,95.07979273308791
40,0.15,240,low,jsq,10,278.3,234.8309236258112,321.76907637418884,53.52155683503468,33.381471304541726,73.66164236552763,0.3445995,0.17283290926582032,0.5163660907341797,65.51333,35.507988585878685,95.51867141412131
40,0.15,240,low,phasec,10,345.7,298.19942760412465,393.2005723958753,42.626621631639196,33.380667020804,51.872576242474395,0.178595,0.07471354409165834,0.2824764559083417,47.56,24.941559726479746,70.17844027352027
40,0.15,240,mid,combo_s1_j1,10,400.6,362.372890480572,438.82710951942806,36.37458344881015,31.613665760630433,41.135501136989866,0.2050958,0.08518289739192032,0.3250087026080797,48.61333,21.483646148659837,75.74301385134015
40,0.15,240,mid,greedy,10,347.2,295.3995096968837,399.0004903031163,55.03501767170919,28.40655652409727,81.66347881932111,0.34237439999999997,0.1967785833605474,0.4879702166394525,70.48,48.4538492608038,92.50615073919622
40,0.15,240,mid,hungarian,10,303.9,266.35992768173253,341.4400723182674,68.07059830297467,33.541023827018066,102.60017277893128,0.46302360000000004,0.3377039211133289,0.5883432788866712,81.11334,60.27228701199894,101.95439298800105
40,0.15,240,mid,jsq,10,338.0,293.3794636578757,382.6205363421243,53.95105720413438,27.328763495806783,80.57335091246198,0.36019,0.21703186721648862,0.5033481327835114,72.65333,51.30607485629328,94.00058514370672
40,0.15,240,mid,phasec,10,328.4,262.90309468769146,393.8969053123085,41.04913778685828,35.71414167791115,46.38413389580541,0.3262714,0.22543698449799238,0.4271058155020076,67.98667,50.391640727393124,85.58169927260688
40,0.18,288,high,combo_s1_j1,10,294.8,245.202150466398,344.397849533602,52.13143103556916,38.42359839337872,65.83926367775959,0.3945966,0.32437200517218323,0.4648211948278168,79.26667,72.86471606438104,85.66862393561897
40,0.18,288,high,greedy,10,251.8,198.69222363502158,304.9077763649784,67.14334353852618,46.352939216333645,87.93374786071871,0.4749974,0.40988679776606185,0.5401080022339382,89.50001,87.29955124969194,91.70046875030806
