variant,arm,load,seed,map_rows,map_cols,num_robots,num_stations,robot_density,order_arrival_count,completion_fraction,completed_orders,completed_tasks,avg_task_duration,avg_excess_delay,open_order_count,pending_order_count,stall_ratio_mean,stall_ratio_max,deadlock_ratio_mean,deadlock_ratio_max,congestion_events,severe_events,risk_rate_per_100
map20_r48_s4,combo_s1_j1,high,703,20,20,48,4,0.12,578,0.9463667820069204,547,2320,49.78534482758621,35.21939655172414,31,0,0.031167,0.229167,0.051778,0.333333,437,335,29.1333
map20_r48_s4,combo_s1_j1,high,704,20,20,48,4,0.12,597,0.916247906197655,547,2243,53.09629959875167,38.545697726259476,50,14,0.038653,0.25,0.071681,0.354167,615,514,41.0
map20_r48_s4,combo_s1_j1,high,705,20,20,48,4,0.12,598,0.7090301003344481,424,1769,46.49406444318824,32.19615602035048,174,141,0.098028,0.25,0.322042,0.895833,829,782,55.2667
map20_r48_s4,combo_s1_j1,high,706,20,20,48,4,0.12,566,0.9593639575971732,543,2359,46.29673590504451,32.48919033488767,23,0,0.020583,0.166667,0.029653,0.229167,229,162,15.2667
map20_r48_s4,combo_s1_j1,high,707,20,20,48,4,0.12,523,0.23709369024856597,124,601,32.7287853577371,18.836938435940098,399,361,0.150944,0.208333,0.793125,1.0,1343,1335,89.5333
map20_r48_s4,combo_s1_j1,high,708,20,20,48,4,0.12,550,0.6145454545454545,338,1568,42.21237244897959,28.258928571428573,212,179,0.099667,0.229167,0.386681,0.958333,820,791,54.6667
map20_r48_s4,combo_s1_j1,high,709,20,20,48,4,0.12,540,0.9574074074074074,517,2218,44.798467087466186,30.92741208295762,23,1,0.013292,0.145833,0.017764,0.208333,130,70,8.6667
map20_r48_s4,combo_s1_j1,high,710,20,20,48,4,0.12,542,0.34686346863468637,188,856,43.60280373831776,28.81658878504673,354,321,0.160722,0.291667,0.669875,1.0,1153,1143,76.8667
map20_r48_s4,greedy,high,701,20,20,48,4,0.12,564,0.8138297872340425,459,2029,47.55741744701824,32.78807294233613,105,76,0.062736,0.208333,0.228264,0.875,683,625,45.5333
map20_r48_s4,greedy,high,702,20,20,48,4,0.12,549,0.35154826958105645,193,802,43.36658354114713,29.17082294264339,356,323,0.169194,0.25,0.701417,1.0,1257,1224,83.8
map20_r48_s4,greedy,high,703,20,20,48,4,0.12,578,0.8304498269896193,480,2106,48.73884140550807,34.26638176638177,98,62,0.065639,0.291667,0.173097,0.979167,593,545,39.5333
map20_r48_s4,greedy,high,704,20,20,48,4,0.12,597,0.9279731993299832,554,2368,51.24028716216216,36.7808277027027,43,12,0.029556,0.166667,0.044375,0.229167,387,265,25.8
map20_r48_s4,greedy,high,705,20,20,48,4,0.12,598,0.9264214046822743,554,2336,52.396832191780824,37.8638698630137,44,6,0.028639,0.229167,0.044972,0.229167,405,295,27.0
map20_r48_s4,greedy,high,706,20,20,48,4,0.12,566,0.6925795053003534,392,1825,47.231232876712326,32.877808219178085,174,146,0.076375,0.270833,0.313444,0.958333,719,694,47.9333
map20_r48_s4,greedy,high,707,20,20,48,4,0.12,523,0.1739961759082218,91,478,32.96652719665272,19.165271966527197,432,394,0.209361,0.270833,0.825917,1.0,1371,1355,91.4
map20_r48_s4,greedy,high,708,20,20,48,4,0.12,550,0.86,473,2127,50.21814762576399,35.661965209214856,77,40,0.072861,0.270833,0.156306,0.708333,731,640,48.7333
map20_r48_s4,greedy,high,709,20,20,48,4,0.12,540,0.5740740740740741,310,1427,43.18710581639804,29.00070077084793,230,194,0.089681,0.208333,0.459944,0.979167,968,914,64.5333
map20_r48_s4,greedy,high,710,20,20,48,4,0.12,542,0.34870848708487084,189,845,45.602366863905324,31.130177514792898,353,320,0.114375,0.270833,0.671889,1.0,1149,1132,76.6
map20_r48_s4,hungarian,high,701,20,20,48,4,0.12,564,0.8475177304964538,478,2098,43.688274547187795,29.603431839847474,86,58,0.033833,0.125,0.215472,0.895833,569,543,37.9333
map20_r48_s4,hungarian,high,702,20,20,48,4,0.12,549,0.46994535519125685,258,1132,42.73144876325088,29.23409893992933,291,262,0.132167,0.229167,0.583708,1.0,1124,1085,74.9333
map20_r48_s4,hungarian,high,703,20,20,48,4,0.12,578,0.7577854671280276,438,2150,49.708837209302324,35.653953488372096,140,124,0.063056,0.270833,0.166,0.854167,683,570,45.5333
map20_r48_s4,hungarian,high,704,20,20,48,4,0.12,597,0.4137353433835846,247,1255,40.72191235059761,26.818326693227093,350,325,0.188014,0.3125,0.556153,1.0,1059,1043,70.6
map20_r48_s4,hungarian,high,705,20,20,48,4,0.12,598,0.5083612040133779,304,1312,44.489329268292686,30.71875,294,266,0.114917,0.208333,0.502861,1.0,989,910,65.9333
map20_r48_s4,hungarian,high,706,20,20,48,4,0.12,566,0.9081272084805654,514,2202,47.444595821980016,33.61171662125341,52,13,0.039069,0.166667,0.122292,0.770833,545,497,36.3333
map20_r48_s4,hungarian,high,707,20,20,48,4,0.12,523,0.49521988527724664,259,1349,52.34766493699036,38.58858413639733,264,251,0.162625,0.291667,0.509375,1.0,1303,1267,86.8667
map20_r48_s4,hungarian,high,708,20,20,48,4,0.12,550,0.1618181818181818,89,464,35.769396551724135,22.829741379310345,461,424,0.194069,0.270833,0.836736,1.0,1409,1406,93.9333
map20_r48_s4,hungarian,high,709,20,20,48,4,0.12,540,0.3388888888888889,183,831,37.730445246690735,24.223826714801444,357,324,0.075264,0.229167,0.704431,1.0,1272,1257,84.8
map20_r48_s4,hungarian,high,710,20,20,48,4,0.12,542,0.5940959409594095,322,1288,45.77717391304348,31.8555900621118,220,179,0.103931,0.25,0.485569,0.979167,1035,994,69.0
map20_r48_s4,jsq,high,701,20,20,48,4,0.12,564,0.9556737588652482,539,2348,46.1320272572402,32.13373083475298,25,0,0.020958,0.145833,0.028958,0.291667,214,111,14.2667
map20_r48_s4,jsq,high,702,20,20,48,4,0.12,549,0.23861566484517305,131,590,35.53559322033898,21.259322033898304,418,378,0.234833,0.270833,0.796278,1.0,1353,1340,90.2
map20_r48_s4,jsq,high,703,20,20,48,4,0.12,578,0.9048442906574394,523,2236,48.391771019677996,34.06171735241503,55,24,0.044806,0.229167,0.110472,0.708333,484,421,32.2667
map20_r48_s4,jsq,high,704,20,20,48,4,0.12,597,0.9346733668341709,558,2337,49.6525459991442,35.718014548566536,39,6,0.025028,0.166667,0.044208,0.229167,459,306,30.6
map20_r48_s4,jsq,high,705,20,20,48,4,0.12,598,0.6889632107023411,412,1748,44.410755148741416,30.312929061784896,186,155,0.056986,0.145833,0.338431,0.916667,765,693,51.0
