load,seed,branch,completed_orders,deadlock_ratio,risk_per_100,avg_excess_delay,final_backlog
low,914,Hungarian,362.0,0.012458,9.0,24.56106408706167,9.0
low,915,Hungarian,554.0,0.027458,17.2667,31.46562228024369,38.0
low,916,Hungarian,390.0,0.010806,6.8,24.857743097238895,11.0
low,917,Hungarian,243.0,0.621431,79.7333,23.853398058252427,364.0
low,918,Hungarian,261.0,0.503472,75.5333,34.27384868421053,235.0
low,919,Hungarian,501.0,0.024847,13.8667,31.93138618451553,14.0
low,920,Hungarian,342.0,0.428319,62.4667,29.8580204778157,406.0
low,921,Hungarian,521.0,0.028403,18.8667,33.26836646499568,27.0
low,922,Hungarian,86.0,0.845444,92.5333,21.445652173913043,695.0
low,923,Hungarian,320.0,0.001722,0.2,18.627581612258496,11.0
low,924,Hungarian,375.0,0.292181,55.8667,30.36444181925576,92.0
low,925,Hungarian,334.0,0.008042,5.0,20.749222153080275,12.0
low,926,Hungarian,390.0,0.02425,12.6667,27.842501447596987,9.0
low,927,Hungarian,361.0,0.010986,6.4667,24.837677725118482,7.0
low,928,Hungarian,435.0,0.014917,6.6667,27.488565488565488,11.0
low,929,Hungarian,148.0,0.739292,86.0667,25.26979865771812,618.0
low,930,Hungarian,348.0,0.007389,5.4,22.06390977443609,12.0
low,931,Hungarian,400.0,0.352861,49.8667,27.932479627473807,227.0
low,932,Hungarian,153.0,0.714917,81.8,23.78494623655914,571.0
